sample,datetime,id,branch,SUBWS,ec,ph,turb,tn,nh4n,no3n,tp,po4,doc
151,1/10/2017 12:00,2 hr 12DW 02 R,SF,WIL,81,7.52,288,0.37,0,0.01,0.141,0.011,5.26
152,1/10/2017 14:00,12 DW 03,SF,WIL,78,7.5,341,0.41,0.03,0.01,0.15,0.009,5.07
153,1/8/2017 6:00,12 DW 04,SF,WIL,131,7.55,22.8,0.31,0,0.01,0.041,0.014,4.38
154,1/10/2017 20:00,12 DW 06,SF,WIL,87,7.71,80.8,0.28,0.02,0,0.068,0.015,3.81
155,1/8/2017 12:00,12 DW 07,SF,WIL,114,7.67,40.4,0.25,0,0.01,0.05,0.012,4.51
156,1/8/2017 14:00,12 DW 08,SF,WIL,101,7.62,48.4,0.3,0,0.01,0.057,0.014,5.75
157,1/8/2017 16:00,12 DW 09,SF,WIL,99,7.7,43.1,0.25,0,0.01,0.074,0.035,5.14
158,1/9/2017 0:00,12 DW 13,SF,WIL,102,7.74,29.3,0.46,0,0,0.038,0.008,3.33
159,1/10/2017 10:00,12 DW 13,SF,WIL,100,7.74,33.3,0.11,0,0,0.053,0.014,2.95
160,1/20/2017 1:00, DW 17,SF,WIL,115,7.74,21.3,0.41,0.02,0,0.038,0.006,3.08
161,1/20/2017 5:00, DW 19,SF,WIL,108,7.73,33.4,0.38,0,0,0.047,0.014,4.06
162,1/9/2017 12:00,12 DW 19,SF,WIL,108,7.77,21.8,0.34,0.01,0,0.03,0.011,2.87
163,1/20/2017 11:00,* DW 20,SF,WIL,100,7.81,32,0.4,0,0.01,0.068,0.042,3.74
164,1/20/2017 19:00, DW 24,SF,WIL,102,7.86,24.2,0.44,0.02,0,0.068,0.045,3.21
165,1/4/2017 4:10,11 W 101,SF,WIL,138,7.9,35.7,0.42,0.06,0.01,0.044,0.011,4.16
166,1/4/2017 11:30,11 W 102,SF,WIL,136,7.94,30.4,0.47,0.05,0.01,0.035,0.009,3.15
167,1/21/2017 11:10,14 W 109 PHHLKE,SF,WIL,104,7.78,19.6,0.51,0,0.01,0.027,0.008,2.8
168,1/3/2017 20:30,11 TR 01 (19),SF,TRE,107,7.68,24.9,0.41,0.05,0.01,0.033,0.008,5.25
169,1/4/2017 4:40,11 TR 02,SF,TRE,105,7.79,25.8,0.37,0.02,0.01,0.033,0.011,3.55
170,1/4/2017 12:50,11 TR 03,SF,TRE,105,7.69,21.4,0.3,0.02,0.01,0.027,0.008,2.87
171,1/4/2017 21:00,11 TR 04,SF,TRE,107,7.72,20.5,0.37,0.01,0.01,0.024,0.008,2.49
172,1/8/2017 8:40,11 TR 06,SF,TRE,97,7.65,30.1,0.4,0.02,0.01,0.033,0.006,4.14
173,1/8/2017 16:10,11 TR 14,SF,TRE,84,7.62,58.1,0.17,0.01,0.02,0.053,0.008,4.23
174,1/8/2017 21:10,11 TR 17,SF,TRE,89,7.61,31.4,0.11,0.04,0.02,0.033,0.006,3.55
175,1/20/2017 1:00,15 DT 17,SF,TRE,101,7.62,15.3,0.08,0.01,0.01,0.024,0.008,3.01
176,1/20/2017 7:00,15 DT 20,SF,TRE,90,7.64,36.4,0.15,0.03,0.01,0.065,0.027,4.37
177,1/20/2017 11:00,DT 22,SF,TRE,90,7.68,31.6,0.11,0.02,0.01,0.03,0.006,3.75
178,1/20/2017 19:00,15 DT 24,SF,TRE,93,7.77,22.2,0.08,0,0.01,0.024,0.006,3.29
179,1/23/2017 12:10,15 DT-MAN GAL,SF,TRE,96,7.69,19.9,0.13,0.01,0.01,0.021,0.004,3.29
180,1/18/2017 17:00,15 DT 01,SF,TRE,101,7.56,20.2,0.29,0.04,0.02,0.051,0.03,5.35
181,2/6/2017 20:00,R-DW02,SF,WIL,116,7.9,22,0.23,0.11,0,0.051,0.005,2.46
182,2/7/2017 2:00,R-DW05,SF,WIL,103,7.87,38,0.22,0.07,0,0.078,0.012,3.41
183,2/7/2017 6:00,P-DW07,SF,WIL,88,7.8,119,0.23,0.03,0.01,0.163,0.008,3.73
184,2/8/2017 12:00,F-DW22,SF,WIL,105,7.74,22,0.11,0.05,0,0.039,0.007,2.17
185,2/7/2017 18:00,F-DW13,SF,WIL,97,7.84,27.2,0.16,0.08,0,0.051,0.008,2.36
186,2/8/2017 11:40,DU,SF,UQL,87,7.57,30.4,0.13,0,0,0.039,0.002,3.11
187,2/7/2017 10:10,DU,SF,UQL,81,7.67,38.5,0.1,0,0,0.048,0.002,4.36
188,2/9/2017 11:00,DU manual,SF,UQL,74,7.57,45.1,0.17,0.03,0,0.057,0.004,5.52
189,2/9/2017 14:00,DU01,SF,UQL,74,7.54,40.8,0.25,0.18,0,0.051,0.002,4.48
190,2/10/2017 0:00,DU05,SF,UQL,79,7.49,38.4,0.26,0.16,0,0.048,0.002,3.51
191,2/11/2017 0:00,DU17,SF,UQL,87,7.49,27.1,0.22,0.13,0,0.039,0.004,2.58
192,2/6/2017 20:00,DT02,SF,TRE,97,7.53,16.1,0.28,0.17,0.01,0.039,0.002,3
193,2/7/2017 4:00,DT06,SF,TRE,82,7.54,65.7,0.2,0.04,0.01,0.103,0.002,3.96
194,2/7/2017 6:00,DT07,SF,TRE,79,7.5,120,0.24,0.05,0.01,0.154,0.004,3.68
195,2/7/2017 18:00,DT13,SF,TRE,91,7.48,21.2,0.09,0.03,0.01,0.034,0.004,2.18
196,2/8/2017 4:00,DT19,SF,TRE,95,7.5,25.2,0.13,0.06,0.01,0.051,0.01,2.06
197,2/6/2017 22:00,R DZ03,SF,ZIE,85,7.56,28.9,0.16,0.1,0.01,0.045,0.002,2.72
198,2/7/2017 2:00,R DZ05,SF,ZIE,75,7.56,40.3,0.16,0.09,0.01,0.06,0.002,3.93
199,2/7/2017 6:00,P DZ07,SF,ZIE,67,7.48,57.1,0.18,0.05,0.01,0.066,0.002,4.07
